rank,name,tier,tier_score,matchup_avg,favorable,unfavorable,even,matchup_error
1,Steve,S+,10.426,6.059,81,0,0,
2,Sonic,S+,10.105,10.565,66,8,8,
3,Snake,S+,9.956,10.229,52,17,13,
4,Mr. Game & Watch,S+,9.883,5.438,65,12,4,
5,R.O.B.,S+,9.809,10.2,51,19,12,
6,Min Min,S+,9.677,10.366,54,21,7,
7,Kazuya,S+,9.451,5.499,66,12,3,
8,Diddy Kong,S-,8.997,5.21,55,22,4,
9,Pyra/Mythra,S-,8.899,5.9,77,3,1,
10,Luigi,S-,8.786,9.813,33,36,13,
11,Peach,S-,8.415,10.254,51,17,14,
11,Daisy,S-,8.415,10.254,51,17,14,
12,Yoshi,S-,8.39,10.115,47,21,14,
13,Fox,S-,8.317,5.272,53,17,11,
14,Joker,S-,8.299,10.739,67,10,5,
15,Samus,A+,8.094,9.991,41,25,16,
15,Dark Samus,A+,8.094,9.991,41,25,16,
16,Palutena,A+,8.032,10.355,58,15,9,
17,Pikachu,A+,7.98,5.657,72,9,0,
18,Olimar,A+,7.807,9.895,34,36,12,
19,Wario,A+,7.768,9.923,37,30,15,
20,Roy,A,7.677,5.365,66,11,4,
21,Hero,A,7.654,9.93,34,32,16,
22,Bayonetta,A,7.633,4.947,30,42,9,
23,Mario,A,7.589,10.226,53,21,8,
24,Wolf,A,7.567,10.39,58,14,10,
25,Mii Brawler,A,7.486,9.661,21,43,18,
26,Mega Man,A,7.4857,10.063,43,28,11,
27,Sora,A,7.459,5.109,43,30,8,
28,Cloud,A,7.362,10.316,56,16,10,
29,Ryu,A,7.282,9.643,24,44,14,
30,Corrin,A-,7.144,5.007,35,39,7,
31,Falco,A-,7.13,10.15,41,24,17,
32,Shulk,A-,6.882,10.335,61,12,9,
33,Captain Falcon,A-,6.821,9.767,29,36,17,
34,Greninja,A-,6.804,10.282,54,15,13,
35,Terry,B+,6.503,9.828,26,34,22,
36,Pokémon Trainer,B+,6.457,10.188,51,20,11,
37,Lucina,B+,6.443,10.207,51,19,12,
38,Ken,B+,6.437,9.772,29,36,17,
39,Zero Suit Samus,B+,6.42,10.395,60,18,4,
40,Pac-Man,B+,6.408,10.062,42,28,12,
41,Toon Link,B+,6.29,9.837,31,34,17,
42,Young Link,B+,6.207,10.278,52,16,14,
43,Pit,B+,6.092,9.699,26,45,11,
43,Dark Pit,B+,6.092,9.699,26,45,11,
44,Rosalina,B+,6.08,9.829,37,32,13,
45,Ice Climbers,B+,6.027,9.451,20,51,11,
46,Donkey Kong,B+,5.99,4.456,5,74,2,
47,Pichu,B-,5.722,5.17,57,20,4,
48,Inkling,B-,5.609,5.098,46,24,11,
49,Ness,B-,5.585,9.804,32,31,19,
50,Sheik,B-,5.4,10.139,46,21,15,
51,Byleth,B-,5.374,5.02,41,33,7,
52,Meta Knight,B-,5.366,9.834,35,40,7,
53,Sephiroth,B-,5.298,5.279,58,19,4,
54,Duck Hunt,B-,5.148,9.54,24,49,9,
55,Isabelle,C+,4.939,9.401,22,54,6,
56,Mii Gunner,C+,4.9,9.501,18,48,16,
57,Lucas,C+,4.762,9.665,26,45,11,
58,Wii Fit Trainer,C+,4.723,9.361,15,58,9,
59,Robin,C+,4.708,9.423,18,56,8,
60,Ridley,C+,4.628,9.323,17,58,7,
61,Banjo & Kazooie,C-,4.466,9.387,15,60,7,
62,Bowser Jr.,C-,4.404,4.562,10,69,2,
63,Lucario,C-,4.401,9.418,18,54,10,
64,Jigglypuff,C-,4.355,9.228,10,60,12,
65,Chrom,C-,4.312,10.063,45,23,14,
66,Link,C-,4.238,10.084,45,23,14,
67,Bowser,C-,4.2,9.571,24,44,14,
68,Incineroar,C-,4.154,9.013,6,71,5,
69,Kirby,C-,4.137,9.19,11,64,7,
70,Piranha Plant,C-,4.015,9.21,11,62,9,
71,Mii Swordfighter,D+,3.77,9.184,11,63,8,
72,Mewtwo,D+,3.564,9.671,27,43,12,
73,Zelda,D+,3.474,4.8,22,52,7,
74,Marth,D-,3.168,9.946,35,28,19,
75,Dr. Mario,D-,3.115,4.389,1,75,5,
76,Ike,D-,3.112,9.687,27,42,13,
77,King K. Rool,D-,3.069,8.985,8,68,6,
78,King Dedede,D-,2.901,4.367,9,72,0,
79,Villager,D-,2.861,9.487,24,52,6,
80,Simon,E,2.565,9.561,28,43,11,
80,Richter,E,2.565,9.561,28,43,11,
81,Little Mac,E,2.288,8.623,3,76,3,
82,Ganondorf,E,1.768,4.157,1,79,1,
