rank,name,tier,tier_score,matchup_avg,favorable,unfavorable,even,matchup_error
1,Steve,S+,10.43,6.058,81,0,0,
2,Sonic,S+,10.299,5.48,65,0,0,
3,Snake,S+,9.954,5.444,48,0,0,
4,Mr. Game & Watch,S,9.562,5.647,62,0,0,
5,R.O.B.,S,9.505,5.449,47,0,0,
6,Pyra/Mythra,S,9.418,5.981,74,0,0,
7,Kazuya,S,9.396,5.735,60,0,0,
8,Diddy Kong,S-,9.018,,0,0,0,"HTTPSConnectionPool(host='www.eventhubs.com', port=443): Read timed out. (read timeout=15)"
9,Min Min,S-,8.921,,0,0,0,"HTTPSConnectionPool(host='www.eventhubs.com', port=443): Read timed out. (read timeout=15)"
10,Fox,S-,8.787,5.532,53,0,0,
11,Peach,S-,8.673,5.416,50,0,0,
11,Daisy,S-,8.673,5.416,50,0,0,
12,Joker,S-,8.572,5.595,65,0,0,
13,Yoshi,S-,8.449,5.389,44,0,0,
14,Pikachu,S-,8.28,5.801,71,0,0,
15,Roy,A+,8.128,5.551,61,0,0,
16,Olimar,A+,8.126,5.403,33,0,0,
17,Cloud,A+,8.101,5.45,54,0,0,
18,Luigi,A+,8.093,5.368,28,0,0,
19,Bayonetta,A+,8.046,5.419,31,0,0,
20,Samus,A+,7.949,5.406,35,0,0,
20,Dark Samus,A+,7.949,5.406,35,0,0,
21,Palutena,A+,7.888,5.448,56,0,0,
22,Mario,A+,7.818,5.422,51,0,0,
23,Corrin,A,7.665,5.474,34,0,0,
24,Wario,A,7.596,5.377,40,0,0,
25,Sora,A,7.574,5.456,43,0,0,
26,Falco,A,7.454,5.526,38,0,0,
27,Wolf,A,7.431,5.442,57,0,0,
28,Hero,A,7.408,5.421,33,0,0,
29,Ryu,A-,7.254,5.305,21,0,0,
30,Shulk,A-,7.253,5.402,57,0,0,
31,Mii Brawler,A-,7.143,5.268,19,0,0,
32,Terry,A-,7.04,5.345,29,0,0,
33,Zero Suit Samus,A-,6.992,5.505,58,0,0,
34,Greninja,A-,6.923,5.425,51,0,0,
35,Pac-Man,A-,6.904,5.446,39,0,0,
36,Pokémon Trainer,A-,6.817,5.382,51,0,0,
37,Toon Link,A-,6.752,5.406,32,0,0,
38,Lucina,A-,6.738,5.394,49,0,0,
39,Young Link,B+,6.507,5.458,50,0,0,
40,Pit,B+,6.502,5.357,23,0,0,
40,Dark Pit,B+,6.502,5.357,23,0,0,
41,Captain Falcon,B+,6.424,5.392,25,0,0,
42,Ken,B+,6.415,5.354,28,0,0,
43,Rosalina,B+,6.405,5.354,35,0,0,
44,Ness,B-,6.043,5.37,30,0,0,
45,Sheik,B-,5.989,5.393,45,0,0,
46,Meta Knight,B-,5.978,5.393,29,0,0,
47,Mega Man,B-,5.928,5.415,40,0,0,
48,Inkling,B-,5.847,5.386,44,0,0,
49,Sephiroth,B-,5.828,5.589,53,0,0,
50,Byleth,B-,5.705,5.466,35,0,0,
51,Ice Climbers,B-,5.686,5.355,11,0,0,
52,Pichu,B-,5.644,5.458,53,0,0,
53,Donkey Kong,B-,5.309,5.475,4,0,0,
54,Lucario,C+,4.993,5.281,16,0,0,
55,Banjo & Kazooie,C+,4.758,5.367,15,0,0,
56,Wii Fit Trainer,C+,4.724,5.279,14,0,0,
57,Chrom,C+,4.594,5.414,44,0,0,
58,Lucas,C+,4.59,5.336,25,0,0,
59,Mii Gunner,C+,4.58,5.443,14,0,0,
60,Incineroar,C+,4.51,5.325,4,0,0,
61,Link,C-,4.383,5.393,40,0,0,
62,Ridley,C-,4.369,5.35,14,0,0,
63,Bowser,C-,4.353,5.352,23,0,0,
64,Duck Hunt,C-,4.323,5.443,21,0,0,
65,Kirby,C-,4.245,5.267,9,0,0,
66,Isabelle,C-,4.232,5.329,14,0,0,
67,Robin,C-,4.209,5.4,17,0,0,
68,Bowser Jr.,C-,4.166,5.412,8,0,0,
69,Mewtwo,C-,4.019,5.358,26,0,0,
70,Jigglypuff,C-,3.914,5.36,10,0,0,
71,Marth,C-,3.777,5.355,38,0,0,
72,Mii Swordfighter,D,3.59,5.225,8,0,0,
73,Zelda,D,3.563,5.455,22,0,0,
74,Ike,D,3.435,5.392,25,0,0,
75,Piranha Plant,D,3.373,5.338,8,0,0,
76,Villager,D,3.171,5.414,22,0,0,
77,King Dedede,D,3.038,5.343,7,0,0,
78,King K. Rool,D,2.945,5.25,6,0,0,
79,Simon,D,2.802,5.461,23,0,0,
79,Richter,D,2.802,5.461,23,0,0,
80,Dr. Mario,D,2.73,5.2,1,0,0,
81,Little Mac,E,2.294,5.3,2,0,0,
82,Ganondorf,E,1.611,5.2,1,0,0,
